plate	well	depth	expt	round	sample	phage_library	notes	ID
1	A1	1.0	027e	R2i	A1	Synthetic		01-A1
1	A3	1.0	027e	R2i	A3	Synthetic		01-A3
1	A4	1.0	027e	R2i	A4	Synthetic		01-A4
1	A10	1.0	027e	R2i	A10	Synthetic		01-A10
1	A11	1.0	027e	R2i	A11	Synthetic		01-A11
1	A12	1.0	027e	R2i	A12	Synthetic		01-A12
1	B1	1.0	027e	R2i	B1	Synthetic		01-B1
1	B2	1.0	027e	R2i	B2	Synthetic		01-B2
1	B3	1.0	027e	R2i	B3	Synthetic		01-B3
1	B4	1.0	027e	R2i	B4	Synthetic		01-B4
1	B5	1.0	027e	R2i	B5	Synthetic		01-B5
1	B6	1.0	027e	R2i	B6	Synthetic		01-B6
1	B7	1.0	027e	R2i	B7	Synthetic		01-B7
1	B8	1.0	027e	R2i	B8	Synthetic		01-B8
1	B9	1.0	027e	R2i	B9	Synthetic		01-B9
1	B10	1.0	027e	R2i	B10	Synthetic		01-B10
1	B11	1.0	027e	R2i	B11	Synthetic		01-B11
1	B12	1.0	027e	R2i	B12	Synthetic		01-B12
1	C1	1.0	027e	R2i	C1	Synthetic		01-C1
1	C2	1.0	027e	R2i	C2	Synthetic		01-C2
1	C3	1.0	027e	R2i	C3	Synthetic		01-C3
1	C4	1.0	027e	R2i	C4	Synthetic		01-C4
1	C5	1.0	027e	R2i	C5	Synthetic		01-C5
1	C6	1.0	027e	R2i	C6	Synthetic		01-C6
1	C7	1.0	027e	R2i	C7	Synthetic		01-C7
1	C8	1.0	027e	R2i	C8	Synthetic		01-C8
1	C9	1.0	027e	R2i	C9	Synthetic		01-C9
1	C10	1.0	027e	R2i	C10	Synthetic		01-C10
1	C11	1.0	027e	R2i	C11	Synthetic		01-C11
1	C12	1.0	027e	R2i	C12	Synthetic		01-C12
1	D1	1.0	027e	R2i	D1	Synthetic		01-D1
1	D2	1.0	027e	R2i	D2	Synthetic		01-D2
1	D3	1.0	027e	R2i	D3	Synthetic		01-D3
1	D4	1.0	027e	R2i	D4	Synthetic		01-D4
1	D6	1.0	027e	R2i	D6	Synthetic		01-D6
1	D7	1.0	027e	R2i	D7	Synthetic		01-D7
1	D8	1.0	027e	R2i	D8	Synthetic		01-D8
1	D9	1.0	027e	R2i	D9	Synthetic		01-D9
1	D10	1.0	027e	R2i	D10	Synthetic		01-D10
1	D11	1.0	027e	R2i	D11	Synthetic		01-D11
1	D12	1.0	027e	R2i	D12	Synthetic		01-D12
1	E1	1.0	027e	R2i	E1	Synthetic		01-E1
1	E2	1.0	027e	R2i	E2	Synthetic		01-E2
1	E3	1.0	027e	R2i	E3	Synthetic		01-E3
1	E4	1.0	027e	R2i	E4	Synthetic		01-E4
1	E5	1.0	027e	R2i	E5	Synthetic		01-E5
1	E6	1.0	027e	R2i	E6	Synthetic		01-E6
1	E7	1.0	027e	R2i	E7	Synthetic		01-E7
1	E8	1.0	027e	R2i	E8	Synthetic		01-E8
1	E9	1.0	027e	R2i	E9	Synthetic		01-E9
1	E10	1.0	027e	R2i	E10	Synthetic		01-E10
1	E11	1.0	027e	R2i	E11	Synthetic		01-E11
1	E12	1.0	027e	R2i	E12	Synthetic		01-E12
1	F1	1.0	027e	R2i	F1	Synthetic		01-F1
1	F2	1.0	027e	R2i	F2	Synthetic		01-F2
1	F3	1.0	027e	R2i	F3	Synthetic		01-F3
1	F4	1.0	027e	R2i	F4	Synthetic		01-F4
1	F5	1.0	027e	R2i	F5	Synthetic		01-F5
1	F6	1.0	027e	R2i	F6	Synthetic		01-F6
1	F7	1.0	027e	R2i	F7	Synthetic		01-F7
1	F8	1.0	027e	R2i	F8	Synthetic		01-F8
1	F10	1.0	027e	R2i	F10	Synthetic		01-F10
1	F11	1.0	027e	R2i	F11	Synthetic		01-F11
1	F12	1.0	027e	R2i	F12	Synthetic		01-F12
1	G1	1.0	027e	R2i	G1	Synthetic		01-G1
1	G2	1.0	027e	R2i	G2	Synthetic		01-G2
1	G3	1.0	027e	R2i	G3	Synthetic		01-G3
1	G4	1.0	027e	R2i	G4	Synthetic		01-G4
1	G5	1.0	027e	R2i	G5	Synthetic		01-G5
1	G6	1.0	027e	R2i	G6	Synthetic		01-G6
1	G7	1.0	027e	R2i	G7	Synthetic		01-G7
1	G8	1.0	027e	R2i	G8	Synthetic		01-G8
1	G9	1.0	027e	R2i	G9	Synthetic		01-G9
1	G10	1.0	027e	R2i	G10	Synthetic		01-G10
1	G11	1.0	027e	R2i	G11	Synthetic		01-G11
1	G12	1.0	027e	R2i	G12	Synthetic		01-G12
1	H1	1.0	027e	R2i	H1	Synthetic		01-H1
1	H3	1.0	027e	R2i	H3	Synthetic		01-H3
1	H4	1.0	027e	R2i	H4	Synthetic		01-H4
1	H5	1.0	027e	R2i	H5	Synthetic		01-H5
1	H6	1.0	027e	R2i	H6	Synthetic		01-H6
1	H7	1.0	027e	R2i	H7	Synthetic		01-H7
1	H8	1.0	027e	R2i	H8	Synthetic		01-H8
1	H9	1.0	027e	R2i	H9	Synthetic		01-H9
1	H10	1.0	027e	R2i	H10	Synthetic		01-H10
1	H11	1.0	027e	R2i	H11	Synthetic		01-H11
1	H12	1.0	027e	R2i	H12	Synthetic		01-H12
2	A1	1.0	027e	R3i	A1	Synthetic		02-A1
2	A2	1.0	027e	R3i	A2	Synthetic		02-A2
2	A3	1.0	027e	R3i	A3	Synthetic		02-A3
2	A4	1.0	027e	R3i	A4	Synthetic		02-A4
2	A5	1.0	027e	R3i	A5	Synthetic		02-A5
2	A6	1.0	027e	R3i	A6	Synthetic		02-A6
2	A7	1.0	027e	R3i	A7	Synthetic		02-A7
2	A8	1.0	027e	R3i	A8	Synthetic		02-A8
2	A9	1.0	027e	R3i	A9	Synthetic		02-A9
2	A10	1.0	027e	R3i	A10	Synthetic		02-A10
2	A11	1.0	027e	R3i	A11	Synthetic		02-A11
2	A12	1.0	027e	R3i	A12	Synthetic		02-A12
2	B1	1.0	027e	R3i	B1	Synthetic		02-B1
2	B2	1.0	027e	R3i	B2	Synthetic		02-B2
2	B3	1.0	027e	R3i	B3	Synthetic		02-B3
2	B4	1.0	027e	R3i	B4	Synthetic		02-B4
2	B5	1.0	027e	R3i	B5	Synthetic		02-B5
2	B6	1.0	027e	R3i	B6	Synthetic		02-B6
2	B7	1.0	027e	R3i	B7	Synthetic		02-B7
2	B8	1.0	027e	R3i	B8	Synthetic		02-B8
2	B9	1.0	027e	R3i	B9	Synthetic		02-B9
2	B10	1.0	027e	R3i	B10	Synthetic		02-B10
2	B11	1.0	027e	R3i	B11	Synthetic		02-B11
2	B12	1.0	027e	R3i	B12	Synthetic		02-B12
2	C1	1.0	027e	R3i	C1	Synthetic		02-C1
2	C2	1.0	027e	R3i	C2	Synthetic		02-C2
2	C3	1.0	027e	R3i	C3	Synthetic		02-C3
2	C4	1.0	027e	R3i	C4	Synthetic		02-C4
2	C5	1.0	027e	R3i	C5	Synthetic		02-C5
2	C6	1.0	027e	R3i	C6	Synthetic		02-C6
2	C7	1.0	027e	R3i	C7	Synthetic		02-C7
2	C8	1.0	027e	R3i	C8	Synthetic		02-C8
2	C9	1.0	027e	R3i	C9	Synthetic		02-C9
2	C10	1.0	027e	R3i	C10	Synthetic		02-C10
2	C11	1.0	027e	R3i	C11	Synthetic		02-C11
2	C12	1.0	027e	R3i	C12	Synthetic		02-C12
2	D1	1.0	027e	R3i	D1	Synthetic		02-D1
2	D2	1.0	027e	R3i	D2	Synthetic		02-D2
2	D3	1.0	027e	R3i	D3	Synthetic		02-D3
2	D4	1.0	027e	R3i	D4	Synthetic		02-D4
2	D5	1.0	027e	R3i	D5	Synthetic		02-D5
2	D6	1.0	027e	R3i	D6	Synthetic		02-D6
2	D7	1.0	027e	R3i	D7	Synthetic		02-D7
2	D8	1.0	027e	R3i	D8	Synthetic		02-D8
2	D9	1.0	027e	R3i	D9	Synthetic		02-D9
2	D10	1.0	027e	R3i	D10	Synthetic		02-D10
2	D11	1.0	027e	R3i	D11	Synthetic		02-D11
2	D12	1.0	027e	R3i	D12	Synthetic		02-D12
2	E1	1.0	027e	R3i	E1	Synthetic		02-E1
2	E2	1.0	027e	R3i	E2	Synthetic		02-E2
2	E3	1.0	027e	R3i	E3	Synthetic		02-E3
2	E4	1.0	027e	R3i	E4	Synthetic		02-E4
2	E5	1.0	027e	R3i	E5	Synthetic		02-E5
2	E6	1.0	027e	R3i	E6	Synthetic		02-E6
2	E7	1.0	027e	R3i	E7	Synthetic		02-E7
2	E8	1.0	027e	R3i	E8	Synthetic		02-E8
2	E9	1.0	027e	R3i	E9	Synthetic		02-E9
2	E10	1.0	027e	R3i	E10	Synthetic		02-E10
2	E11	1.0	027e	R3i	E11	Synthetic		02-E11
2	E12	1.0	027e	R3i	E12	Synthetic		02-E12
2	F1	1.0	027e	R3i	F1	Synthetic		02-F1
2	F2	1.0	027e	R3i	F2	Synthetic		02-F2
2	F3	1.0	027e	R3i	F3	Synthetic		02-F3
2	F4	1.0	027e	R3i	F4	Synthetic		02-F4
2	F5	1.0	027e	R3i	F5	Synthetic		02-F5
2	F6	1.0	027e	R3i	F6	Synthetic		02-F6
2	F7	1.0	027e	R3i	F7	Synthetic		02-F7
2	F8	1.0	027e	R3i	F8	Synthetic		02-F8
2	F9	1.0	027e	R3i	F9	Synthetic		02-F9
2	F10	1.0	027e	R3i	F10	Synthetic		02-F10
2	F11	1.0	027e	R3i	F11	Synthetic		02-F11
2	F12	1.0	027e	R3i	F12	Synthetic		02-F12
2	G1	1.0	027e	R3i	G1	Synthetic		02-G1
2	G2	1.0	027e	R3i	G2	Synthetic		02-G2
2	G3	1.0	027e	R3i	G3	Synthetic		02-G3
2	G4	1.0	027e	R3i	G4	Synthetic		02-G4
2	G5	1.0	027e	R3i	G5	Synthetic		02-G5
2	G6	1.0	027e	R3i	G6	Synthetic		02-G6
2	G7	1.0	027e	R3i	G7	Synthetic		02-G7
2	G8	1.0	027e	R3i	G8	Synthetic		02-G8
2	G9	1.0	027e	R3i	G9	Synthetic		02-G9
2	G10	1.0	027e	R3i	G10	Synthetic		02-G10
2	G11	1.0	027e	R3i	G11	Synthetic		02-G11
2	G12	1.0	027e	R3i	G12	Synthetic		02-G12
2	H1	1.0	027e	R3i	H1	Synthetic		02-H1
2	H2	1.0	027e	R3i	H2	Synthetic		02-H2
2	H3	1.0	027e	R3i	H3	Synthetic		02-H3
2	H4	1.0	027e	R3i	H4	Synthetic		02-H4
2	H5	1.0	027e	R3i	H5	Synthetic		02-H5
2	H6	1.0	027e	R3i	H6	Synthetic		02-H6
2	H7	1.0	027e	R3i	H7	Synthetic		02-H7
2	H8	1.0	027e	R3i	H8	Synthetic		02-H8
2	H9	1.0	027e	R3i	H9	Synthetic		02-H9
2	H10	1.0	027e	R3i	H10	Synthetic		02-H10
2	H11	1.0	027e	R3i	H11	Synthetic		02-H11
2	H12	1.0	027e	R3i	H12	Synthetic		02-H12
3	A1	1.0	027e	R4i	A1	Synthetic		03-A1
3	A2	1.0	027e	R4i	A2	Synthetic		03-A2
3	A3	1.0	027e	R4i	A3	Synthetic		03-A3
3	A4	1.0	027e	R4i	A4	Synthetic		03-A4
3	A5	1.0	027e	R4i	A5	Synthetic		03-A5
3	A6	1.0	027e	R4i	A6	Synthetic		03-A6
3	A7	1.0	027e	R4i	A7	Synthetic		03-A7
3	A8	1.0	027e	R4i	A8	Synthetic		03-A8
3	A9	1.0	027e	R4i	A9	Synthetic		03-A9
3	A10	1.0	027e	R4i	A10	Synthetic		03-A10
3	A11	1.0	027e	R4i	A11	Synthetic		03-A11
3	A12	1.0	027e	R4i	A12	Synthetic		03-A12
3	B1	1.0	027e	R4i	B1	Synthetic		03-B1
3	B2	1.0	027e	R4i	B2	Synthetic		03-B2
3	B3	1.0	027e	R4i	B3	Synthetic		03-B3
3	B4	1.0	027e	R4i	B4	Synthetic		03-B4
3	B5	1.0	027e	R4i	B5	Synthetic		03-B5
3	B6	1.0	027e	R4i	B6	Synthetic		03-B6
3	B7	1.0	027e	R4i	B7	Synthetic		03-B7
3	B8	1.0	027e	R4i	B8	Synthetic		03-B8
3	B9	1.0	027e	R4i	B9	Synthetic		03-B9
3	B11	1.0	027e	R4i	B11	Synthetic		03-B11
3	B12	1.0	027e	R4i	B12	Synthetic		03-B12
3	C1	1.0	027e	R4i	C1	Synthetic		03-C1
3	C2	1.0	027e	R4i	C2	Synthetic		03-C2
3	C3	1.0	027e	R4i	C3	Synthetic		03-C3
3	C4	1.0	027e	R4i	C4	Synthetic		03-C4
3	C5	1.0	027e	R4i	C5	Synthetic		03-C5
3	C6	1.0	027e	R4i	C6	Synthetic		03-C6
3	C7	1.0	027e	R4i	C7	Synthetic		03-C7
3	C9	1.0	027e	R4i	C9	Synthetic		03-C9
3	C10	1.0	027e	R4i	C10	Synthetic		03-C10
3	C11	1.0	027e	R4i	C11	Synthetic		03-C11
3	C12	1.0	027e	R4i	C12	Synthetic		03-C12
3	D1	1.0	027e	R4i	D1	Synthetic		03-D1
3	D2	1.0	027e	R4i	D2	Synthetic		03-D2
3	D3	1.0	027e	R4i	D3	Synthetic		03-D3
3	D4	1.0	027e	R4i	D4	Synthetic		03-D4
3	D5	1.0	027e	R4i	D5	Synthetic		03-D5
3	D6	1.0	027e	R4i	D6	Synthetic		03-D6
3	D7	1.0	027e	R4i	D7	Synthetic		03-D7
3	D8	1.0	027e	R4i	D8	Synthetic		03-D8
3	D9	1.0	027e	R4i	D9	Synthetic		03-D9
3	D10	1.0	027e	R4i	D10	Synthetic		03-D10
3	D11	1.0	027e	R4i	D11	Synthetic		03-D11
3	D12	1.0	027e	R4i	D12	Synthetic		03-D12
3	E1	1.0	027e	R4i	E1	Synthetic		03-E1
3	E2	1.0	027e	R4i	E2	Synthetic		03-E2
3	E3	1.0	027e	R4i	E3	Synthetic		03-E3
3	E4	1.0	027e	R4i	E4	Synthetic		03-E4
3	E5	1.0	027e	R4i	E5	Synthetic		03-E5
3	E6	1.0	027e	R4i	E6	Synthetic		03-E6
3	E7	1.0	027e	R4i	E7	Synthetic		03-E7
3	E8	1.0	027e	R4i	E8	Synthetic		03-E8
3	E9	1.0	027e	R4i	E9	Synthetic		03-E9
3	E10	1.0	027e	R4i	E10	Synthetic		03-E10
3	E11	1.0	027e	R4i	E11	Synthetic		03-E11
3	E12	1.0	027e	R4i	E12	Synthetic		03-E12
3	F1	1.0	027e	R4i	F1	Synthetic		03-F1
3	F2	1.0	027e	R4i	F2	Synthetic		03-F2
3	F3	1.0	027e	R4i	F3	Synthetic		03-F3
3	F4	1.0	027e	R4i	F4	Synthetic		03-F4
3	F5	1.0	027e	R4i	F5	Synthetic		03-F5
3	F6	1.0	027e	R4i	F6	Synthetic		03-F6
3	F7	1.0	027e	R4i	F7	Synthetic		03-F7
3	F8	1.0	027e	R4i	F8	Synthetic		03-F8
3	F9	1.0	027e	R4i	F9	Synthetic		03-F9
3	F10	1.0	027e	R4i	F10	Synthetic		03-F10
3	F11	1.0	027e	R4i	F11	Synthetic		03-F11
3	F12	1.0	027e	R4i	F12	Synthetic		03-F12
3	G1	1.0	027e	R4i	G1	Synthetic		03-G1
3	G2	1.0	027e	R4i	G2	Synthetic		03-G2
3	G3	1.0	027e	R4i	G3	Synthetic		03-G3
3	G4	1.0	027e	R4i	G4	Synthetic		03-G4
3	G5	1.0	027e	R4i	G5	Synthetic		03-G5
3	G6	1.0	027e	R4i	G6	Synthetic		03-G6
3	G7	1.0	027e	R4i	G7	Synthetic		03-G7
3	G8	1.0	027e	R4i	G8	Synthetic		03-G8
3	G9	1.0	027e	R4i	G9	Synthetic		03-G9
3	G10	1.0	027e	R4i	G10	Synthetic		03-G10
3	G11	1.0	027e	R4i	G11	Synthetic		03-G11
3	G12	1.0	027e	R4i	G12	Synthetic		03-G12
3	H2	1.0	027e	R4i	H2	Synthetic		03-H2
3	H3	1.0	027e	R4i	H3	Synthetic		03-H3
3	H4	1.0	027e	R4i	H4	Synthetic		03-H4
3	H5	1.0	027e	R4i	H5	Synthetic		03-H5
3	H6	1.0	027e	R4i	H6	Synthetic		03-H6
3	H7	1.0	027e	R4i	H7	Synthetic		03-H7
3	H8	1.0	027e	R4i	H8	Synthetic		03-H8
3	H9	1.0	027e	R4i	H9	Synthetic		03-H9
3	H10	1.0	027e	R4i	H10	Synthetic		03-H10
3	H11	1.0	027e	R4i	H11	Synthetic		03-H11
3	H12	1.0	027e	R4i	H12	Synthetic		03-H12
4	A1	1.0	024e_pooled	R5i	7_A1	Alpaca	cell-based pooled tube panning, arrayed	04-A1
4	A2	1.0	024e_pooled	R5i	7_A2	Alpaca		04-A2
4	A3	1.0	024e_pooled	R5i	7_A3	Alpaca		04-A3
4	A4	1.0	024e_pooled	R5i	7_A4	Alpaca		04-A4
4	A5	1.0	024e_pooled	R5i	7_A5	Alpaca		04-A5
4	A6	1.0	024e_pooled	R5i	7_A6	Alpaca		04-A6
4	A7	1.0	024e_pooled	R5i	7_A7	Alpaca		04-A7
4	A8	1.0	024e_pooled	R5i	7_A8	Alpaca		04-A8
4	A9	1.0	024e_pooled	R5i	7_A9	Alpaca		04-A9
4	A10	1.0	024e_pooled	R5i	7_A10	Alpaca		04-A10
4	A11	1.0	024e_pooled	R5i	7_A11	Alpaca		04-A11
4	A12	1.0	024e_pooled	R5i	7_A12	Alpaca		04-A12
4	B2	1.0	024e_pooled	R5i	7_B2	Alpaca		04-B2
4	B3	1.0	024e_pooled	R5i	7_B3	Alpaca		04-B3
4	B4	1.0	024e_pooled	R5i	7_B4	Alpaca		04-B4
4	B5	1.0	024e_pooled	R5i	7_B5	Alpaca		04-B5
4	B6	1.0	024e_pooled	R5i	7_B6	Alpaca		04-B6
4	B7	1.0	024e_pooled	R5i	7_B7	Alpaca		04-B7
4	B8	1.0	024e_pooled	R5i	7_B8	Alpaca		04-B8
4	B9	1.0	024e_pooled	R5i	7_B9	Alpaca		04-B9
4	B10	1.0	024e_pooled	R5i	7_B10	Alpaca		04-B10
4	B11	1.0	024e_pooled	R5i	7_B11	Alpaca		04-B11
4	B12	1.0	024e_pooled	R5i	7_B12	Alpaca		04-B12
4	C1	1.0	024e_pooled	R5i	7_C1	Alpaca		04-C1
4	C2	1.0	024e_pooled	R5i	7_C2	Alpaca		04-C2
4	C3	1.0	024e_pooled	R5i	7_C3	Alpaca		04-C3
4	C4	1.0	024e_pooled	R5i	7_C4	Alpaca		04-C4
4	C5	1.0	024e_pooled	R5i	7_C5	Alpaca		04-C5
4	C6	1.0	024e_pooled	R5i	7_C6	Alpaca		04-C6
4	C7	1.0	024e_pooled	R5i	7_C7	Alpaca		04-C7
4	C8	1.0	024e_pooled	R5i	7_C8	Alpaca		04-C8
4	C9	1.0	024e_pooled	R5i	7_C9	Alpaca		04-C9
4	C10	1.0	024e_pooled	R5i	7_C10	Alpaca		04-C10
4	C11	1.0	024e_pooled	R5i	7_C11	Alpaca		04-C11
4	C12	1.0	024e_pooled	R5i	7_C12	Alpaca		04-C12
4	D1	1.0	024e_pooled	R5i	7_D1	Alpaca		04-D1
4	D2	1.0	024e_pooled	R5i	7_D2	Alpaca		04-D2
4	D3	1.0	024e_pooled	R5i	7_D3	Alpaca		04-D3
4	D4	1.0	024e_pooled	R5i	7_D4	Alpaca		04-D4
4	D5	1.0	024e_pooled	R5i	7_D5	Alpaca		04-D5
4	D6	1.0	024e_pooled	R5i	7_D6	Alpaca		04-D6
4	D7	1.0	024e_pooled	R5i	7_D7	Alpaca		04-D7
4	D8	1.0	024e_pooled	R5i	7_D8	Alpaca		04-D8
4	D9	1.0	024e_pooled	R5i	7_D9	Alpaca		04-D9
4	D10	1.0	024e_pooled	R5i	7_D10	Alpaca		04-D10
4	D11	1.0	024e_pooled	R5i	7_D11	Alpaca		04-D11
4	D12	1.0	024e_pooled	R5i	7_D12	Alpaca		04-D12
4	E1	1.0	024e_pooled	R5i	7_E1	Alpaca		04-E1
4	E2	1.0	024e_pooled	R5i	7_E2	Alpaca		04-E2
4	E3	1.0	024e_pooled	R5i	7_E3	Alpaca		04-E3
4	E4	1.0	024e_pooled	R5i	7_E4	Alpaca		04-E4
4	E5	1.0	024e_pooled	R5i	7_E5	Alpaca		04-E5
4	E6	1.0	024e_pooled	R5i	7_E6	Alpaca		04-E6
4	E7	1.0	024e_pooled	R5i	7_E7	Alpaca		04-E7
4	E8	1.0	024e_pooled	R5i	7_E8	Alpaca		04-E8
4	E9	1.0	024e_pooled	R5i	7_E9	Alpaca		04-E9
4	E10	1.0	024e_pooled	R5i	7_E10	Alpaca		04-E10
4	E11	1.0	024e_pooled	R5i	7_E11	Alpaca		04-E11
4	E12	1.0	024e_pooled	R5i	7_E12	Alpaca		04-E12
4	F1	1.0	024e_pooled	R5i	7_F1	Alpaca		04-F1
4	F2	1.0	024e_pooled	R5i	7_F2	Alpaca		04-F2
4	F3	1.0	024e_pooled	R5i	7_F3	Alpaca		04-F3
4	F4	1.0	024e_pooled	R5i	7_F4	Alpaca		04-F4
4	F5	1.0	024e_pooled	R5i	7_F5	Alpaca		04-F5
4	F6	1.0	024e_pooled	R5i	7_F6	Alpaca		04-F6
4	F7	1.0	024e_pooled	R5i	7_F7	Alpaca		04-F7
